,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
1102, , , , , ,16,34,2,4,4,4,4,1,22,3,1,2,0,1,1103,3.0
1104, ,2,3,2,2,14,43,3,4,4,4,4,1,24,2,0,1,0,1,1105,3.5
1106, , , , , ,15,48,4,4,4,4,4,1,23,2,1,0,0,1,1107,4.0
1107,34,4,4,4,4,15,48,3,4,4,4,4,1,23,3,0,2,0,1,1108,3.5
1108, , , , , ,15,62,4,4,4,4,4,3,5,3,0,5,0,1,1109,4.0
1109, ,2,2,1,1,15,42,4,3,3,4,4,1,28,3,1,0,0,1,1110,3.5
1110, , , , , ,12, ,4,4,4,4,4,1,22,3,1,1,0,1,1111,4.0
1111, , , , , ,14,50,4,4,4,4,4,1,23,3,0,0,0,1,1112,4.0
1112,46,2,2,3,3,14, ,4,4,4,4,4,1,23,2,0,2,1,1,1113,4.0
1113,40,4,4,4,4,14,39,3,4,4,4,4,1,23,3,0,1,0,1,1114,3.5
1114,60,3,3,4,4,16,60,3,4,4,4,4,1,23,3,1,0,0,1,1115,3.5
1116, , , , , ,12,49,4,4,4,4,4, , ,3,1,1,0,1,1117,4.0
1117, , , , , ,15, ,4,4,4,4,4,1,23,3,1,1,0,1,1118,4.0
1118, , , , , ,14,23,4,4,4,4,4,1,23,3,0,0,0,1,1119,4.0
1119, , , , , ,15,52,4,4,4,4,3, ,9,3,1,12,0,4,1120,4.0
1120, ,2,3,3,2,15,57,4,3,4,3,3, ,6,2,1,14,0,4,1121,4.0
1121,26,2,2,2,2,14,34,4,4,4,4,4,3,11,2,0,0,0,1,1122,4.0
1122, , , , , ,12,33,4,4,4, ,3,1,11,3,1,0,0,1,1123,4.0
1123, , , , , ,12, ,4,4,4,4,4,3,5,3,0,0, ,1,1124,4.0
1124, ,3,4,4,4,15,49,3,4,4,4,4,1,23,1,1,1,0,1,1125,3.5
1126,27,2,2,2,2,15,49,3,4,4,4,4,1,33,3,0,0,0,1,1127,3.5
1128, , , , , ,16,49,3,4,4,4,4,1,46,2,1,0,0,1,1129,3.5
1130,28,2,2,3,3,10,34,4,4,4,4,4,3,9,3, ,4,0,1,1131,4.0
1131, , , , , ,12,37,4,4,4,2,2, ,5,2,0,1,0,1,1132,4.0
1132,17,3,3,2,2,14, ,4,2,3,2,2,2,9,1,0,1,0,1,1133,3.5
1133, , , , , ,10,58,4,4,4,4,4,3,67,3,0,1,0,4,1134,4.0
1134,28,1,2,1,1,16,56,4,4,4,4,4,3,9,2,1,25,0,1,1135,4.0
1135,39,4,4,4,4,14,34,4,4,4,4,4,3,22,3,1,0,0,1,1136,4.0
1136, ,2,2,1,1,14,38,4,4,4,4,4,3,47,3,1,0,0,1,1137,4.0
1137, ,2,2,1,1,14,34,4,4,4,4,4,3,30,2, ,0,0,1,1138,4.0
1138, , , , , ,16,50,4,4,4,4,4,3,32,3,1,1,0,4,1139,4.0
1140, , , , , ,14, ,4,4,4,4, ,1,45,1,1,3,0,2,1141,4.0
1141, , , , , ,15,53,3,4,4,4,4,1,70,2,0,0,0,1,1142,3.5
1142,33,2,3,1,1,14,49,4,4,4,4,4,3,5,2,0,0, ,1,1143,4.0
1143,26,3,3,3,3,12, ,3,4,4,4,4,1,5,2,0,24,1,1,1144,3.5
1144, ,3,3,3,3,14,58,4,4,4,4,4, ,22,3,1,1,0,1,1145,4.0
1145, ,2,3,3,3,15,42,4,4,4,4,4,1,22,3,1,0,0,1,1146,4.0
1146, ,2,2,2,2,10,38,4,4,4,4,4, ,28,3,0,1,0,1,1147,4.0
1147, , , , , ,14,57,4,4,4,4,4,1,13,3,1,0, , ,1148,4.0
1148, , , , , ,18, ,4,3,4,3,3,1,11,2,1,0, ,1,1149,4.0
1149,53,3,3,3,3,15,57,4,4,4,4,4,1,11,2,0,0,0,1,1150,4.0
1150, ,1,1,1,1,12, ,3,4,4,4,4,1,26,3,1,2,0,1,1151,3.5
1151, , , , , ,14,16,4,4,4,4,4,1,5,3,1,0, ,1,1152,4.0
1152, , , , , ,15, ,3,4,4,4,4,3,47,3,1,1,0,1,1153,3.5
1153,52,3,3,3,2,18,66,4,4,4,4,4,1,13,2,1,0,0,1,1154,4.0
1155, ,3,3,2,2,15,67,4,4,4,4,4,3,66,3,1,0,0,1,1156,4.0
1156, , , , , ,14,53,4,4,4,4,4,1,53,3,0,1,0,1,1157,4.0
1157, ,1,1,1,1,12, ,3,4,4,4,4,3,46,3,0,0,0,1,1158,3.5
1158, , , , , ,10,43,4,4,4,4,4,1,23,2,1,0,0,1,1159,4.0
1159, ,1,2,1,1,14,42,4,4,4,4,4,3,66,3,0,6,0,4,1160,4.0
1160, , , , , ,14,34,4,4,4,4,4,3,3,3,1,3,0,2,1161,4.0
1161,34,2,2,2,2,15,44,3,3,3,3,3,1,26,3,1,0,0,1,1162,3.0
1162, ,1,1,1,1,16,46,3,2,2,2,2,3,33,1,1,0,0,4,1163,2.5
1164, , , , , ,12,42,4,4,4,4,4,3,5,3,0,10,0,1,1165,4.0
1165, , , , , ,14,42,4,4,4,4,4,3,12,3,0,1,0,1,1166,4.0
1166, , , , , ,16,55,4,4,4,4,4,3,12,3,0,0,0,1,1167,4.0
1167, , , , , ,15,53,4,4,4,4,4,3,11,3,1,0, ,1,1168,4.0
1168, , , , , ,12,53,4,4,4,4,4,3,12,1,0,0,0, ,1169,4.0
1169,34,3,3,3,3,14,53,4,4,4,4,4,1,49,2,1,2,0,1,1170,4.0
1170, , , , , ,14,26,3,4,4,4,4,1,5,3,0,0,0,1,1171,3.5
1172,67,4,4,4,4,16,52,4,4,4,4,4,1,19,2,1,25,1,4,1173,4.0
1174, , , , , ,15,31,1,4,4,4,4,1,47,2,1,0,0,1,1175,2.5
1175,67,4,4,4,4,12,49,3,4,4,4, ,1,5,1,0,0, ,1,1176,3.5
1176, , , , , ,16, ,4,2,3,3,3,2,6,3,0,5,0,1,1177,3.5
1177, , , , , ,10,44,4,4,4,4,4,1,70,3,0,0, ,1,1178,4.0
1178,21,2,2,2,2,15,53,3,3,4,4,3,1,24,2,1,0,0,1,1179,3.5
1179,53,3,3,3,3,15,44,4,4,4,4,4,3,25,3,1,0,0,1,1180,4.0
1180, , , , , ,16,54,4,4,4,4,4,1,12,2,0,0, ,1,1181,4.0
1181, , , , , ,15,62,4,4,4,4,4,3,20,3,1,5,0,1,1182,4.0
1182, ,2,3,3,3,15,39,4,4,4,4,4,3,5,3,0,5,0,1,1183,4.0
1183,38,3,3,3,3,16, ,4,4,4,4, ,1,5,3,0,3,0,1,1184,4.0
1184, , , , , ,18,43,4,4,4,4, ,1,11,1,0,0, ,1,1185,4.0
1185, , , , , ,12, ,4,4,4,4, ,2,60,3,1,0, ,1,1186,4.0
1186, , , , , ,10,32,4,4,4,4,4,1,11,2,0,0, ,1,1187,4.0
1187,42, , , , ,14,42,4,4,4,4,4,1,19,3,0,8,0,2,1188,4.0
1188,28,2,2,2,2,16,38,4,4,4,4, ,3,9,3,1,30,1,1,1189,4.0
1189, , , , , ,16,38,4,4,4,4,4,3,12,3, ,0,0,2,1190,4.0
1191, , , , , ,16,49,3,4,4,4,4,1,23,2,1,1,0,1,1192,3.5
1192,39,4,4,4,4,15,39,2,4,4,4,4,1,23,1,1,1,0,1,1193,3.0
1193,39,3,3,2,2,15,34,3,4,4,4,4,1,22,3,1,2,0,1,1194,3.5
1194, , , , , ,14,39,3,3,3,3,3,1,23,3,1,3,0,3,1195,3.0
1195,54,3,4,4,4,14, ,4,3,4,4,4,1,22,3,0,1,0,2,1196,4.0
1197,42,3,3,2,2,14,56,4,4,4,4,4,1,23,3,1,2,0,4,1198,4.0
1198, , , , , ,15,50,4,4,4,4,4,1,23,3,1,0,0,1,1199,4.0
1199, , , , , ,14,37,4,4,4,4,4,1,22,3,1,1,0,4,1200,4.0
1200, ,4,4,4,4,14,49,3,4,4,4,4,1,23,3,1,1,0,1,1201,3.5
1201,39,4,4,4,4,16,36,4,3,4,4,4,1,23,1,0,2,1,1,1202,4.0
1202, , , , , ,14,34,4,4,4,4,4,1,22,3,1,1,0,1,1203,4.0
1203, , , , , ,14,50,4,4,4,4,4,3,23,2,0,1,0,1,1204,4.0
1204,17,3,3,3,3,15,53,3,4,4,4,4,1,23,3,0,1,0,1,1205,3.5
1205,42,3,4,4,4,12,56,4,4,4,4,4,3,22,3,1,1,1,4,1206,4.0
1206, , , , , ,15,42,4,4,4,4,4,1,23,3,0,0,0,1,1207,4.0
1207, , , , , ,18, ,4,4,4,4,4,1,22,2,1,6,0,1,1208,4.0
1208, , , , , ,16,55,4,4,4,4,4,1,22,3,1,0,0,1,1209,4.0
1209,38,4,4,4,4,14,22,3,4,4,4,4,1,22,2,0,1,0,1,1210,3.5
1210,49,4,4,4,4,18, ,3,4,4,4,4,1,23,3,1,0,0,1,1211,3.5
1211,50,4,4,4,4,14,48,3,4,4,4,4,1,22,3,0,2,0,1,1212,3.5
1212, , , , , ,14, ,3,4,4,4,4,1,22,3,1,1,0,1,1213,3.5
1213, , , , , ,15,53,4,4,4,4,4,1,23,3,1,2,0,1,1214,4.0
1214,32,4,4,4,4,16,68,3,4,4,4,4,1,23,3,1,2,0,1,1215,3.5
1215, , , , , ,15, ,3,4,4,4,4,3,23,2,0,2,0,1,1216,3.5
1224,50,4,4,4,4,15,49,4,4,4,4,4,1,22,3,1,0,0,1,1225,4.0
1225, , , , , ,15,22,3,3,4,4,3,1,0,1,1,5,1,3,1226,3.5
1226, ,4,4,4,4,15,62,4,4,4,4,4,1,23,2,1,1,0,1,1227,4.0
1227,60,3,3,3,3,15, ,2,4,4,4,4,1,23,3,0,0,0,1,1228,3.0
1228, , , , , ,10, ,4,4,4,4,4,1,10,3,1,5,1,1,1229,4.0
1229, ,4,4,4,4,16, ,3,4,4,4,3,1,22,3,1,0,0,1,1230,3.5
1230,52,4,4,4,4,16,56,3,4,4,4,4,1,5,2,0,0, ,1,1231,3.5
1231, ,2,4,3,2,15,34,3,4,4,4, ,1,52,3,1,0, ,1,1232,3.5
1232, , , , , ,12,27,4,4,4,4,4,3,10,1,1,4,0,1,1233,4.0
1234,42,3,3,3,2,14,44,4,4,4,4,4,1,66,3,1,8,0,1,1235,4.0
1235, , , , , ,15, ,4,4,4,4,3,1,0,2,1,20,0,1,1236,4.0
1236,26,2,3,3,3,16,55,4,4,4,4,4,3,10,3,1,1,0,1,1237,4.0
1239, ,2,2,2,1,15,39,4,4,4,4,3,3,10,3,1,5,0,4,1240,4.0
1240, ,1,1,1,1,14,52,4,4,4,4,3,3,10,3,1,2,0,1,1241,4.0
1241, ,2,2,3,3,12,29,4,4,4,4,4,3,10,3,0,50,0,1,1242,4.0
1242, ,4,4,4,4,16,53,4,4,4,4,4,3,9,1,0,10,0,1,1243,4.0
1243, , , , , ,15,40,4,4,4,4,4,3,9,3,0,100,0,1,1244,4.0
1244,23,4,4,4,4,15,42,3,4,4,4,4,3,9,3,1,0,0,1,1245,3.5
1245,32,4,4,4,4,16, ,3,4,4,4,4,1,10,3,1,10,0,1,1246,3.5
1246, , , , , ,12,42,4,3,4,4,3,3,10,3,1,0,0,1,1247,4.0
1247,26,3,3,3,3,14,52,3,4,4,4,4,1,10,3,1,0,0,1,1248,3.5
1248,28,2,3,2,2,14,45,4,4,4,4,4,3,9,3,0,5,1,4,1249,4.0
1249,36,3,3,2,3,16,50,4,4,4,4,4,3,10,2,1,3,0,1,1250,4.0
1250, , , , , ,14,53,4,4,4,4,4,1,9,3,1,3,0,1,1251,4.0
1251,31,3,3,3,1,14,34,4,4,4,4,4,3,9,3,0,24,0,1,1252,4.0
1252, ,3,4,4,4,14,23,4,4,4,4,4,1,10,2,0,10,1,1,1253,4.0
1253,28,3,3,3,2,12, ,3,4,4,4,4,1,9,3,1,0,0,1,1254,3.5
1254, ,4,4,4,4,16,56,4,4,4,4,4,3,10,3,1,6,0,1,1255,4.0
1255, , , , , ,15,39,4,4,4,4,4,3,10,3,0,10,0,1,1256,4.0
1256,39, , , , ,12,34,4,4,4,4,4,3,10,2,1,50,0,1,1257,4.0
1257, ,2,2,1,1,14,33,4,3,3,3,3,2,9,3,0,4,0,1,1258,3.5
1258, ,3,1,1,2,12,49,4,4,4,4,4,1,9,3,1,4,0,1,1259,4.0
1259, , , , , ,14,31,3,3,3,3,3,3,8,1,1,25,0,4,1260,3.0
1260, ,1,1,1,1,12,23,4,4,4,4,4,3,5,3,1,6,1,1,1261,4.0
1261,37,2,2,2,2,15,34,4,4,4,4,4,3,9,3,1,1,0,1,1262,4.0
1262,47,2,3,2,1,12,55,4,4,4,3,3,3,9,3,0,250,0,1,1263,4.0
1263, , , , , ,16,50,4,4,4,4,4,1,9,1,0,20,0,1,1264,4.0
1264, , , , , ,14,26,4,3,3,3,3,2,9,3,1,4,1,1,1265,3.5
1265, , , , , ,12,39,4,4,4,4,4,1,9,3,0, ,0,1,1266,4.0
1266,38,1,1,1,1,12,50,1,1,1,1,1,3,9,2,0,4,0,1,1267,1.0
1267,26,2,1,1,1,14,33,4,4,4,4,4,1,5,3,1,1,0,1,1268,4.0
1268,17,2,4,3,1,15,38,4,4,4,4,4,3,10,2,0,8,0,1,1269,4.0
1269, , , , , ,12,44,4,4,4,4,4,3,9,3,1,50,0,1,1270,4.0
1270, , , , , ,14,34,3,4,4,4,4,1,71,3,1,0,0,3,1271,3.5
1271,16,3,3,3,2,14, ,4,4,4,4,4,3,9,3,1,3,0,4,1272,4.0
1272,28,4,4,4,4,16, ,4,4,4,4,4,3,10,3,1,1,0,1,1273,4.0
1273, , , , , ,12,39,2,4,4,4,4,1,9,3,1,0,0,1,1274,3.0
1274,33,3,3,1,1,15,21,4,4,4,4,4,3,10,3,0,10,0,1,1275,4.0
1275,26,4,4,4,3,14,39,2,4,4,4,4,1,9,3,1,10,1,1,1276,3.0
1277,37,3,3,3,2,10,30,2,4,4,4,4,3,10,1,0,5,0,1,1278,3.0
1279,27,3,3,3,3,14,44,4,3,3,3,3,3,10,3,1,1,0,1,1280,3.5
1280, ,4,4,4,4,14, ,4,4,4,4,4,3,10,3,0,1,0,1,1281,4.0
1281, , , , , ,12, ,4,4,4,4,4,1,10,3,0, ,0,1,1282,4.0
1282, , , , , ,16,39,4,4,4,4,4,3,10,2,0,2,0,4,1283,4.0
1283,28,3,3,3,2,14,34,4,4,4,4,4,3,10,3,0,2,0,1,1284,4.0
1284, ,2,3,2,1,14,20,3,4,4,4,4,1,10,3,1,2,0,1,1285,3.5
1285, , , , , ,15,29,2,3,4,3,3,1,10,3,1,1,0,1,1286,3.0
1286,17,3,4,2,2,16, ,4,4,4,4,4,1,10,2,0,3,0,1,1287,4.0
1287, , , , , ,15,37,1,1,1,1,1,3,10,3,1,10,0,1,1288,1.0
1288, ,2,2,2,2,18,57,3,4,4,4,4,3,10,3,1,10,0,1,1289,3.5
1289,27,3,3,3,2,10,42,3,4,4,4,4,1,0,2,1,3,0,1,1290,3.5
1290, , , , , ,16,55,3,4,4,4,4,3,23,3,1,0,0,1,1291,3.5
1291, , , , , ,15,48,4,4,4,4, ,1,6,2,0,0, ,1,1292,4.0
1292,33,2,3,2,2,15,42,3,3,3,3,3,3,9,1,1,2,0,1,1293,3.0
1293,55,3,4,4,4,14,34,4,4,4,4,4,1,12,3,1,6,0,1,1294,4.0
1294,42,3,3,3,3,15,31,3,4,4,4,4,1,10,3,1,5,0,1,1295,3.5
1295, , , , , ,14,28,3,4,4,4,3,1,10,3,1,24,1,1,1296,3.5
1296,20,2,3,3,2,14,26,4,3,4,4,3,3,9,3,0,4,0,4,1297,4.0
1298,31,2,2,1,1,14,44,4,4,4,4,4,1,14,1,0,1,0,1,1299,4.0
1299, ,2,2,2,2,14,31,4,4,4,4,4,3,6,1,0,0,0,1,1300,4.0
1300, , , , , ,16,67,4,4,4,4,4,1,10,2,1,9,0,1,1301,4.0
1301, , , , , ,16, ,4,4,4,4,4,2,5,3,0,3,0,1,1302,4.0
1302, , , , , ,18,66,4,4,4,4,4,1,6,2,1,20,0,1,1303,4.0
1303, , , , , ,14,53,4,4,4,4,4,3,14, ,1,1,0,1,1304,4.0
1304, , , , , ,16,23,2,4,4,4,4,1,19,2,0,2,0,1,1305,3.0
1305, , , , , ,12,16,4,4,4,4,4,1,5,3,1,300,1,1,1306,4.0
1306,44,3,3,3,3,12,44,4,4,4,4,4,2,6,3,0,10,0,1,1307,4.0
1307, , , , , ,16,42,4,4,4,4,4,1,7,3,0,1,0,1,1308,4.0
1308,23,2,3,2,2,14,62,1,4,4,4, ,3,14,2,0,1,0,1,1309,2.5
1309, , , , , ,15,29,3,4,4,3,3,1,6,2,1,0, ,1,1310,3.5
1310, ,4,4,4,4,15,34,4,4,4,4,4,1,12,3, ,1,0,1,1311,4.0
1311, , , , , ,14,42,4,4,4,4, ,1,12,3,0,0, ,1,1312,4.0
1312, , , , , ,14,51,4,4,4, , ,1,7,2,0,0, ,1,1313,4.0
1313, , , , , ,12,42,4,4,4,4,4,1,12,3,1,0,0,1,1314,4.0
1314,38,2,2,3,2,12,26,4,4,4,4,4,1,14,3,1,1,0,1,1315,4.0
1315,42,3,2,4,4,18, ,4,4,4,4,4,1,5,3,1,0, ,1,1316,4.0
1316, , , , , ,14,51,4,4,4,4, ,1,5,3,0,2,0,1,1317,4.0
1317, , , , , ,16,56,4,4,4,4, ,3,5,3,1,1,0,1,1318,4.0
1318, , , , , ,16,39,3,4,4,4,4,1,13,3,0,15,1,4,1319,3.5
1319, , , , , ,16,60,4,4,4,4,4,1,7,2,0,0,0,1,1320,4.0
1320, , , , , ,12, ,3,4,4,4,4, ,10,3,0,0,0,1,1321,3.5
1321, , , , , ,15,56,3,3,3,3, ,3,12,2,0,1,0,1,1322,3.0
1322, ,3,3,3,3,12, ,3,3,3,3,3,1,13,3,1,1,0,1,1323,3.0
1323, , , , , ,10,36,4,4,4,4,4,2,69,3,0,0,0,1,1324,4.0
1324, ,2,2,2,2,16,56,4,4,4,4,4,2,26,2,1,0,0,1,1325,4.0
1325, ,3,3,3,3,16,42,4,4,4,4,4,1,35,3,1,8,1,1,1326,4.0
1326, , , , , ,14,46,4,4,4,4,4,1,22,2,0,1,0,1,1327,4.0
1327, ,3,3,4,4,12,34,4,3,3,3,3, ,22,3,0,0,0,4,1328,3.5
1328, , , , , ,14, ,4,4,4,4,4,1,23,3,0,0,0,1,1329,4.0
1329, , , , , ,14,37,4,4,4,4,4,1,23,2,1,0,0,1,1330,4.0
1330,53,3,3,4,4,12,34,4,4,4,4,4,1,22,3,0,1,0,1,1331,4.0
1333, , , , , ,16, ,4,4,4,4,4,1,38,2,0,3,0,3,1334,4.0
1334, , , , , ,14,49,4,4,4, ,4,1,5,3,0,3,0,1,1335,4.0
1336, , , , , ,15, ,3,4,4,4,4,1,70,1,0,1,0,1,1337,3.5
1338, , , , , ,14,53,3,4,4,4,4,1,12,2,0,0, ,1,1339,3.5
1339, ,4,4,4,4,12,42,3,4,4,4,4,1,12,1,0,0, ,1,1340,3.5
1340, , , , , ,14,37,3,4,4,4,4,3,23,1,0,3,1,1,1341,3.5
1341, , , , , ,16,46,4,4,4,4,4,1,71,3,1,0,0,1,1342,4.0
1344, ,1,1,1,1,14,38,4,3,2,3,3,3,30,3,0,0,0,1,1345,3.0
1345, , , , , ,16,42,4,4,4,4,4,1,5,2,1,2,0,1,1346,4.0
1346, , , , , ,15,55,3,4,4,4,4,1,5,2,0,4,0,1,1347,3.5
1348,53,4,4,4,4,14,55,4,3,4,4,4,1,11,2,1,0,0,1,1349,4.0
1349, , , , , ,12,55,4,4,4,4,4,1,12,2,0,0, ,1,1350,4.0
1350, , , , , ,14,58,3,4,4,4,4,1,12,3,1,0, ,1,1351,3.5
1351, , , , , ,15, ,4,4,4,4,4,1,12,3,0,1,0,1,1352,4.0
1352,39,4,4,4,4,12,34,4,4,4,4,4,3,70,3,1,2,0,1,1353,4.0
1353,42,2,3,2,2,15,39,4,4,4,4, ,2,13,3,1,0, ,1,1354,4.0
1354,58,4,4,4,4,12,53,4,4,4,4, ,1,5,2,0,20,1,1,1355,4.0
1355, ,1,2,2,2,16,70,4,4,4,4,4,1,13,2,0,0, ,1,1356,4.0
1356, , , , , ,18, ,4,4,4,4,4,1,66,3,0,1,0,1,1357,4.0
1357, , , , , ,12,39,3,4,4,4, ,3,11,2,1,0, ,1,1358,3.5
1358, , , , , ,14,34,4,4,4,4,4,3,70,3,0,0, ,1,1359,4.0
1359,28,1,2,1,1,14,38,4,4,4,4,4,1,6,3,1,1,0,1,1360,4.0
1360, , , , , ,16, ,4,4,4,4, ,1,5,3,1,2,0,1,1361,4.0
1361,70,3,4,4,4,14,54,3,4,4,4, ,1,5,2,0,0, ,1,1362,3.5
1362, ,3,3,3,3,14, ,4,4,4,4,4,1,5,3,1,0, ,1,1363,4.0
1363, , , , , ,14,29,4,4,4,4,3,3,70,3,1,1,0,1,1364,4.0
1364, , , , , ,16,56,4,4,4,4,4,1,12,3,1,0,0,1,1365,4.0
1365,53,4,4,4,4,18,39,4,4,4,4,4,1,5,2,0,0,0,1,1366,4.0
1366,32,2,3,2,2,14,49,4,4,4,4, ,1,5,3,1,0, ,1,1367,4.0
1367, , , , , ,12,34,3,4,4,4, ,1,5,2,0,0, ,1,1368,3.5
1368,19,2,2,2,2,16,42,4,4,4,4, ,3,19,3,1,2,0,1,1369,4.0
1369,67,4,4,4,4,16,42,4,4,4,4, ,1,5,3,0,3,0,1,1370,4.0
1370, ,4,4,4,4,16,53,3,4,4,4,4,1,16,3,1,4,0,1,1371,3.5
1371, , , , , ,16,56,4,4,4,4, ,1,12,3,0, , ,1,1372,4.0
1372,52,4,4,4,4,16,57,4,4,4,4, ,1,5,3,1,0, ,1,1373,4.0
1373, , , , , ,14,49,3,3,4,3, ,1,12,3,1, , ,1,1374,3.5
1374, , , , , ,14,44,4,4,4,4,4,3,15,3,1,1,0,1,1375,4.0
1375,33,3,3,3,3,16, ,4,4,4,4,4,1,13,3,1,2,0,1,1376,4.0
1376,39,2,2,2,2,18,49,4,4,4,4,4,3,5,3,1,1,0,1,1377,4.0
1377,31,2,2,2,2,14,58,4,4,4,4,4,3,5,3,0,0, ,1,1378,4.0
1378, , , , , ,15, ,4,4,4,4, ,3,5,3,1,0, ,1,1379,4.0
1379,22,4,4,4,4,12,24,4,3,3,3, ,1,5,3,1,2,0,1,1380,3.5
1380,56,2,2,2,2,12,42,4,4,4,4,4,3,70,3,1,0, ,1,1381,4.0
1381,47,3,3,3,3,15,52,4,4,4,4,4,1,14,2,0,1,0,1,1382,4.0
1382,49,4,4,4,4,14,48,4,4,4,4,4,1,12,2,0,0,0,1,1383,4.0
1383, , , , , ,14, ,4,4,4,4,4,1,13,2,1,1,0,1,1384,4.0
1384, , , , , ,14, ,4,4,4,4,4,3,12,2,0,0, ,1,1385,4.0
1385, , , , , ,14,45,3,4,4,4,4,1,12,3,1,0, ,1,1386,3.5
1386, , , , , ,16,54,4,4,4,4, ,1,12,3,1, , ,1,1387,4.0
1387,49,3,3,3,3,14,45,4,3,3,4,4,3,13,3,1,0,0,1,1388,3.5
1388, , , , , ,18,60,4,4,4,4, ,1,12,2,0,0, ,1,1389,4.0
1389,40,1,2,1,1,15,32,4,4,4,4, ,1,5,1,0,0, ,1,1390,4.0
1390,29,3,3,2,2,14,45,4,4,4,4, ,1,7,2,0,1,0,1,1391,4.0
1391,78,4,4,4,4,16, ,4,3,4,3, ,1,12,2,0,0, ,1,1392,4.0
1392,38,2,3,3,3,14,34,4,4,4,4, ,1,5,1,0,0, ,1,1393,4.0
1393, ,2,2,2,1,15,53,3,4,4,4, ,3,5,3,1,0, ,1,1394,3.5
1394, , , , , ,14,34,3,4,4,4, ,1,5,3,0,0, ,1,1395,3.5
1395, , , , , ,16,49,4,4,4,4, ,1,66,3,1,0, ,1,1396,4.0
1396, , , , , ,14,42,4,4,4,4, ,1,5,3,0,1,0,1,1397,4.0
1397,39,4,4,4,4,15,48,4,4,4,4, ,3,12,2,0,0, ,1,1398,4.0
1398, , , , , ,15,22,4,4,4,4,4,3,5,3,1,1,0,1,1399,4.0
1399,60,4,4,4,4,14,42,4,4,4,4,4,1,12,2,1,0, ,1,1400,4.0
1400, , , , , ,16,55,4,4,4,4,4,1,12,1,0,0, ,1,1401,4.0
1401,44,2,3,3,3,16,51,4,4,4,4,4,1,5,2,0,0,0,1,1402,4.0
1402,55,3,4,4,4,14, ,4,4,4,4,4,1,5,1,1,0, ,1,1403,4.0
1403, , , , , ,16,56,4,4,4,4,4,3,5,1,1,0,0,1,1404,4.0
1404,35,2,2,2,2,15, ,4,3,4,4,3,1,14,3,0,8,0,4,1405,4.0
1405, , , , , ,18,60,4,4,4,4,4,1,5,2,1,0, ,1,1406,4.0
1406, , , , , ,12,35,4,4,4,4,4,3,12,3,0,0,0,1,1407,4.0
1407, , , , , ,15,50,3,4,4,4,4,3,12,3,0,0, ,1,1408,3.5
1408, , , , , ,12,34,4,3,3,3,3,3,13,1,0,0, ,1,1409,3.5
1409, ,2,2,3,3,16, ,4,4,4,4,4,2,13,3,1,0,0,1,1410,4.0
1410, , , , , ,12,26,4,4,4,4,4,3,14,1,1,6,0,1,1411,4.0
1411, , , , , ,12,20,3,4,4,4, ,1,5,3,0,0, ,1,1412,3.5
1412,42,4,4,4,4,16,62,4,4,4,4, ,3,12,3,0,0, ,1,1413,4.0
1413, , , , , ,14,53,4,4,4,4,4,2,5,3,0,3,0,1,1414,4.0
1414, , , , , ,12,31,4,3,3,3,3,3,5,3,1,2,0,1,1415,3.5
1415,21,2,3,3,2,14,50,4,4,4,4,4,3,5,3,1,2,0,1,1416,4.0
1416, ,2,2,1,1,12,48,4,4,3,3,3,1,9,2,1,5,0,1,1417,3.5
1417, , , , , ,15,43,4,4,4,4,4,1,9,2,0,10,0,1,1418,4.0
1418, , , , , ,14, ,4,4,4,4,4,1,10,2,0,200,0,1,1419,4.0
1419, , , , , ,14,44,4,4,4,4,4,1,9,1,1,0,0,1,1420,4.0
1420, , , , , ,16,67,4,4,4,4,4,1,5,3,1,0,0,1,1421,4.0
1421, , , , , ,18,60,4,4,4,4,4,3,9,3,0,6,0,1,1422,4.0
1422, , , , , ,16,46,4,4,4,4,4,3,10,3,1,1,0,1,1423,4.0
1423, , , , , ,16,57,3,4,4,4,4,3,9,3,1,25,0,2,1424,3.5
1424, , , , , ,12,49,4,4,4,4,4,1,10,3,0,10,0,1,1425,4.0
1425,17,4,4,4,4,14,49,3,1,1,1,1,1,5,3,0,1,0,1,1426,2.0
1426, , , , , ,15,34,4,4,4,4,4,3,5,2,1,2,0,4,1427,4.0
1427,39,3,3,3,3,14,42,4,3,4,4,4,3,70,3,1,2,0,3,1428,4.0
1428,23,2,2,2,1,12,39,4,4,4,4, ,3,7,1,1,0, ,1,1429,4.0
1429, , , , , ,16,60,4,4,4,4, ,3,5,3,0,10,0,1,1430,4.0
1430, ,3,3,3,3,14,56,4,4,4,4,4,1,5,3,1,0,0,1,1431,4.0
1431, , , , , ,14,42,4,4,4,4, ,3,11,3,1,0, ,1,1432,4.0
1432, , , , , ,16,42,4,4,4,4,4,1,19,3,0,8,0,4,1433,4.0
1433,21,2,2,2,2,12,34,4,4,4,4, ,1,5,2,0,1,0,1,1434,4.0
1434, , , , , ,16,55,4,4,4,4, ,1,5,3,0,0, ,1,1435,4.0
1435,60,3,3,4,3,16,56,4,4,4,4, ,3,0,1,1,0, ,4,1436,4.0
1436, , , , , ,14,28,4,4,4,4,4,1,11,3,0,1,0,1,1437,4.0
