"","ea","mi","english","work"
"1934",10,1500,4,1
"1935",4,1200,3,1
"1940",4,0,2,4
"1943",9,600,3,1
"1946",10,3600,4,1
"1947",10,2000,3,1
"1950",9,1700,3,2
"1951",9,4000,3,1
"1952",10,3900,3.25,1
"1953",9,0,4,6
"1954",9,1000,3,1
"1955",10,2700,4,1
"1956",10,4000,4,1
"1957",11,1800,4,1
"1958",9,3200,4,2
"1959",10,0,3.75,4
"1963",10,1500,3,1
"1965",7,600,2.5,2
"1966",10,2400,3.5,1
"1967",4,0,4,3
"1970",8,2029,3,1
"1975",8,0,4,8
"1977",9,2000,4,1
"1979",10,3000,2.75,1
"1980",9,500,4,2
"1982",9,2300,4,1
"1983",10,0,3.75,4
"1984",2,0,1.5,8
"1985",10,2500,3,1
"1988",5,900,4,1
"1989",10,2100,4,1
"1990",12,10000,4,1
"1992",4,0,4,3
"1996",10,2400,4,1
"2000",4,0,1.25,8
"2002",4,1000,3,2
"2003",8,5000,4,1
"2005",4,1000,2,2
"2009",10,3500,4,1
"2010",3,0,3,6
"2011",4,1200,2,1
"2012",9,1200,3,1
"2017",2,0,1,6
"2022",9,3000,4,1
"2024",10,4000,3.5,1
"2025",9,0,2,8
"2026",11,3000,4,1
"2033",9,0,4,8
"2034",9,2200,4,1
"2035",4,2000,2.75,1
"2036",9,0,4,8
"2038",7,0,4,3
"2041",12,20000,4,1
"2042",9,1000,2,1
"2044",12,1500,3,1
"2045",4,2000,3.25,1
"2048",9,3500,3,1
"2049",4,0,1,6
"2055",4,0,4,3
"2057",2,0,1,3
"2059",4,0,2,3
"2060",2,1600,1.75,1
"2062",6,0,2,8
"2069",8,2800,4,1
"2073",9,0,3,3
"2077",11,1400,3,1
"2079",4,2000,4,2
"2082",7,2500,2,1
"2084",4,1800,4,1
"2087",3,450,2.25,2
"2092",9,1300,3,1
"2096",11,1500,3,1
"2097",4,0,2.5,8
"2099",10,10000,4,1
"2101",6,850,2.75,1
"2102",7,600,2,1
"2105",7,0,3,8
"2107",5,1500,4,1
"2108",3,5000,1.75,1
"2109",12,3000,3,1
"2113",10,0,2.25,3
"2115",8,0,2,8
"2116",9,3500,3,1
"2119",2,0,2,8
"2123",10,800,2.75,1
"2126",5,900,3,1
"2127",7,1200,1.75,1
"2129",9,2500,3.75,1
"2130",3,0,2.5,8
"2131",4,3500,3,1
